,byrcp,Median,Standard_deviation,Sample_size
0,rcp26,2047.0,25.81953497055268,180
1,rcp45,2033.0,22.254596401628255,428
2,rcp60,2044.0,28.081188232904676,108
3,rcp85,2048.0,25.03812879143714,502
