,ST,ST_conf,S1,S1_conf
rcp,0.28441542935738795,0.036099199677853716,0.04284391725973539,0.03740609698544285
gcm,1.0357465182730412,0.06391178591250249,0.7674423479141516,0.0785004344965362
lulc,0.005691161960955863,0.005029104994067705,0.0020848811144095736,0.006986427843919024
