,byrcp,Median,Standard_deviation,Sample_size
0,rcp26,2073.0,15.761195009443703,311
1,rcp45,2059.0,24.08028387862839,659
2,rcp60,2041.0,23.438059835995606,285
3,rcp85,2070.0,17.4078712853915,522
