,byrcp,Median,Standard_deviation,Sample_size
0,rcp26,2061.0,25.956092603266306,544
1,rcp45,2043.0,23.859289505376253,833
2,rcp60,2041.0,22.694418797388895,419
3,rcp85,2063.0,22.90718115288562,725
