,ST,ST_conf,S1,S1_conf
rcp,0.2960043764541199,0.038115578246147905,-0.009399088225673641,0.051660222860798966
gcm,1.009974036144832,0.07236576488670407,0.7060102898402639,0.0883932999452264
lulc,0.051672735002173155,0.013980846119709312,-0.0026675842379600885,0.017149019314385956
