datetime,access1-0_rel_counts,bcc-csm1-1_rel_counts,bcc-csm1-1-m_rel_counts,canesm2_rel_counts,ccsm4_rel_counts,cesm1-bgc_rel_counts,cesm1-cam5_rel_counts,cmcc-cm_rel_counts,cnrm-cm5_rel_counts,csiro-mk3-6-0_rel_counts,fgoals-g2_rel_counts,fio-esm_rel_counts,gfdl-cm3_rel_counts,gfdl-esm2g_rel_counts,gfdl-esm2m_rel_counts,giss-e2-h-cc_rel_counts,giss-e2-r_rel_counts,giss-e2-r-cc_rel_counts,hadgem2-ao_rel_counts,hadgem2-cc_rel_counts,hadgem2-es_rel_counts,inmcm4_rel_counts,ipsl-cm5a-mr_rel_counts,ipsl-cm5b-lr_rel_counts,miroc5_rel_counts,miroc-esm_rel_counts,miroc-esm-chem_rel_counts,mpi-esm-lr_rel_counts,mpi-esm-mr_rel_counts,mri-cgcm3_rel_counts,noresm1-m_rel_counts
2030-10-01,0.0,0.17592592592592593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.25,0.0,0.0,0.0,0.0,0.11805555555555555,0.2361111111111111,0.0,0.0,0.0,0.0
2031-10-01,0.0,0.18981481481481483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4583333333333333,0.027777777777777776,0.0,0.0,0.0,0.0,0.10416666666666667,0.20833333333333334,0.0,0.0,0.0,0.006944444444444444
2032-10-01,0.0,0.3287037037037037,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.2152777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006944444444444444,0.0,0.0,0.0,0.0,0.1736111111111111,0.25,0.2777777777777778,0.0,0.0,0.24305555555555555
2033-10-01,0.0,0.3333333333333333,0.0,0.0,0.3819444444444444,0.0,0.0,0.0,0.0,0.2361111111111111,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.3055555555555556,0.006944444444444444,0.0,0.0,0.013888888888888888,0.0,0.25,0.25,0.0,0.0,0.0,0.25
2034-10-01,0.0,0.3287037037037037,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.24305555555555555,0.0,0.0,0.0,0.2152777777777778,0.2569444444444444,0.0,0.0,0.0,0.0,0.3055555555555556,0.006944444444444444,0.0,0.0,0.4027777777777778,0.0,0.25,0.25,0.25,0.0,0.0,0.25
2035-10-01,0.0,0.21296296296296297,0.0,0.0,0.24305555555555555,0.0,0.0,0.0,0.0,0.2361111111111111,0.0,0.0,0.0,0.006944444444444444,0.2361111111111111,0.0,0.0,0.0,0.2222222222222222,0.4583333333333333,0.027777777777777776,0.0,0.0,0.013888888888888888,0.0,0.25,0.25,0.2962962962962963,0.009259259259259259,0.0,0.22916666666666666
2036-10-01,0.027777777777777776,0.3287037037037037,0.0,0.0,0.25,0.0,0.006944444444444444,0.0,0.0,0.2152777777777778,0.0,0.0,0.0,0.013888888888888888,0.3472222222222222,0.0,0.0,0.0,0.25,0.0,0.034722222222222224,0.0,0.0,0.013888888888888888,0.0,0.25,0.25,0.2962962962962963,0.0,0.0,0.25
2037-10-01,0.0,0.1712962962962963,0.0,0.0,0.4027777777777778,0.0,0.006944444444444444,0.0,0.0,0.11805555555555555,0.0,0.0,0.0,0.2152777777777778,0.4166666666666667,0.027777777777777776,0.0,0.0,0.25,0.0,0.027777777777777776,0.0,0.0,0.013888888888888888,0.0,0.2465277777777778,0.25,0.0,0.0,0.0,0.25
2038-10-01,0.0,0.25925925925925924,0.0,0.0,0.034722222222222224,0.0,0.006944444444444444,0.0,0.0,0.2152777777777778,0.0,0.0,0.041666666666666664,0.2152777777777778,0.5069444444444444,0.027777777777777776,0.0,0.0,0.2222222222222222,0.0,0.25,0.0,0.0,0.013888888888888888,0.0,0.25,0.25,0.018518518518518517,0.0,0.0,0.25
2039-10-01,0.0,0.3287037037037037,0.0,0.0,0.034722222222222224,0.0,0.006944444444444444,0.0,0.0,0.05555555555555555,0.0,0.0,0.24305555555555555,0.2222222222222222,0.5,0.0,0.0,0.0,0.1875,0.0,0.25,0.0,0.0,0.013888888888888888,0.0,0.25,0.25,0.018518518518518517,0.037037037037037035,0.0,0.19444444444444445
2040-10-01,0.0,0.18518518518518517,0.0,0.0,0.034722222222222224,0.0,0.006944444444444444,0.0,0.0,0.20833333333333334,0.0,0.0,0.24305555555555555,0.2222222222222222,0.4791666666666667,0.0,0.0,0.0,0.25,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.3541666666666667,0.25,0.018518518518518517,0.009259259259259259,0.0,0.25
2041-10-01,0.0,0.16666666666666666,0.0,0.009259259259259259,0.2222222222222222,0.0,0.027777777777777776,0.0,0.0,0.2152777777777778,0.0,0.0,0.2569444444444444,0.2152777777777778,0.5138888888888888,0.0,0.0,0.0,0.24305555555555555,0.0,0.020833333333333332,0.0,0.0,0.013888888888888888,0.0,0.3576388888888889,0.25,0.3055555555555556,0.0,0.027777777777777776,0.2638888888888889
2042-10-01,0.0,0.16666666666666666,0.0,0.009259259259259259,0.2361111111111111,0.0,0.020833333333333332,0.0,0.0,0.25,0.0,0.0,0.2708333333333333,0.20833333333333334,0.5069444444444444,0.0,0.0,0.0,0.2013888888888889,0.0,0.006944444444444444,0.0,0.0,0.013888888888888888,0.0,0.3645833333333333,0.25,0.018518518518518517,0.009259259259259259,0.037037037037037035,0.2708333333333333
