,S2,S2_conf
"('rcp', 'gcm')",0.2974257014813627,0.05758161227483616
"('rcp', 'lulc')",-0.03528928863611399,0.05391934876562599
"('gcm', 'lulc')",0.0018463541022767632,0.08572953760505767
