,byrcp,Median,Standard_deviation,Sample_size
0,rcp26,2049.0,20.719231592428475,579
1,rcp45,2057.0,21.8994770351899,891
2,rcp60,2056.0,21.429114906108275,544
3,rcp85,2065.0,16.44633528810925,969
