,S2,S2_conf
"('rcp', 'gcm')",0.2643061376904323,0.06855393398010673
"('rcp', 'lulc')",0.018155548844991445,0.0657426486623879
"('gcm', 'lulc')",0.04186266631579393,0.1316562646125359
