,Rel_NOD_%,Rel_SOD_%,Upstream_Flood_Volume_taf,Delta_Peak_Inflow_cfs
1997-10-01,0.45103269702445253,1.0,2549.2562431839083,153964.66200908768
1998-10-01,0.6248666458319877,1.0,423.8455565190835,126338.60555170439
1999-10-01,0.6744193530378765,1.0,98.40976163088038,130250.00822636257
2000-10-01,0.7522866006558313,0.8652509172142915,0.0,42773.497987559036
2001-10-01,0.7944216211594191,0.9075579299263441,0.0,50435.984057160655
2002-10-01,0.6197970967393156,1.0,134.6642818521328,54308.57969536334
2003-10-01,0.8378368812594463,1.0,0.0,89834.61946318299
2004-10-01,0.5648633901106507,1.0,1842.1202964732138,121564.15309512964
2005-10-01,0.622892846368115,1.0,3431.880221534869,309039.61557311635
2006-10-01,0.7902498838048397,0.9973797714756062,0.0,49336.943228519565
2007-10-01,0.7093952073591752,0.7036217393498404,0.0,38205.407656278476
2008-10-01,0.7164681012774476,0.8502504118265585,0.0,66181.96659973185
2009-10-01,0.545219454052058,1.0,472.63774409007647,59477.42807736665
2010-10-01,0.5015153030201946,1.0,2274.872575965019,119072.67160099673
2011-10-01,0.8340978706550942,1.0,0.4118049735706615,61916.55888125657
2012-10-01,0.7421530572706754,0.8615601603697524,0.0,72475.92339718567
2013-10-01,0.5326338433779636,0.5040593756974926,0.0,34587.82520983048
2014-10-01,0.4558890808478174,0.44894789127169477,0.0,47265.84842861995
2015-10-01,0.7643608152927847,0.8241456438294243,54.24547451914282,123075.59342214905
2016-10-01,0.5517746091011155,1.0,7501.981166677666,459496.5929357246
2017-10-01,0.8575221997737363,1.0,228.08155283621196,117910.92959196851
2018-10-01,0.5992231035787046,1.0,1607.8374840156055,136421.2887662969
2019-10-01,0.7702867073965417,0.9439423124841052,0.0,40460.04651512383
2020-10-01,0.548718888366734,0.5480416321653631,0.0,24543.52299866177
