datetime,rcp26_rel_counts,rcp45_rel_counts,rcp60_rel_counts,rcp85_rel_counts
2046-10-01,0.047619047619047616,0.06451612903225806,0.0625,0.13697318007662834
2047-10-01,0.08862433862433862,0.06451612903225806,0.0625,0.13697318007662834
2048-10-01,0.08862433862433862,0.06451612903225806,0.0625,0.13793103448275862
2049-10-01,0.047619047619047616,0.06451612903225806,0.0625,0.13793103448275862
2050-10-01,0.047619047619047616,0.06451612903225806,0.0625,0.1685823754789272
2051-10-01,0.047619047619047616,0.06451612903225806,0.0625,0.16475095785440613
2052-10-01,0.047619047619047616,0.06451612903225806,0.0625,0.1360153256704981
2053-10-01,0.047619047619047616,0.06451612903225806,0.125,0.13697318007662834
2054-10-01,0.047619047619047616,0.06451612903225806,0.12152777777777778,0.1360153256704981
2055-10-01,0.047619047619047616,0.06451612903225806,0.12152777777777778,0.1657088122605364
2056-10-01,0.047619047619047616,0.06451612903225806,0.12152777777777778,0.16666666666666666
2057-10-01,0.047619047619047616,0.07347670250896057,0.11979166666666667,0.16954022988505746
2058-10-01,0.047619047619047616,0.0931899641577061,0.11979166666666667,0.1360153256704981
2059-10-01,0.047619047619047616,0.06451612903225806,0.125,0.10344827586206896
2060-10-01,0.047619047619047616,0.06451612903225806,0.1232638888888889,0.10344827586206896
2061-10-01,0.047619047619047616,0.09408602150537634,0.11979166666666667,0.13409961685823754
2062-10-01,0.047619047619047616,0.11559139784946236,0.0625,0.11206896551724138
2063-10-01,0.047619047619047616,0.12544802867383512,0.0625,0.1360153256704981
2064-10-01,0.047619047619047616,0.1550179211469534,0.0625,0.13793103448275862
2065-10-01,0.047619047619047616,0.12813620071684587,0.0625,0.16283524904214558
2066-10-01,0.047619047619047616,0.15949820788530467,0.0625,0.1724137931034483
2067-10-01,0.04497354497354497,0.1586021505376344,0.0625,0.1724137931034483
2068-10-01,0.0,0.12903225806451613,0.0625,0.1752873563218391
2069-10-01,0.0013227513227513227,0.15770609318996415,0.0625,0.21743295019157088
2070-10-01,0.0,0.18996415770609318,0.0625,0.2136015325670498
2071-10-01,0.0,0.12455197132616487,0.0625,0.2021072796934866
2072-10-01,0.042328042328042326,0.15412186379928317,0.0625,0.20019157088122605
2073-10-01,0.04497354497354497,0.1111111111111111,0.0625,0.1724137931034483
2074-10-01,0.047619047619047616,0.12903225806451613,0.0625,0.1724137931034483
2075-10-01,0.047619047619047616,0.1863799283154122,0.0625,0.17049808429118773
2076-10-01,0.05555555555555555,0.20519713261648745,0.0625,0.1724137931034483
2077-10-01,0.047619047619047616,0.1917562724014337,0.0625,0.1657088122605364
2078-10-01,0.04497354497354497,0.16845878136200718,0.0625,0.1724137931034483
2079-10-01,0.08597883597883597,0.19265232974910393,0.0625,0.1724137931034483
2080-10-01,0.08994708994708994,0.18727598566308243,0.0625,0.20114942528735633
2081-10-01,0.09391534391534391,0.20340501792114696,0.0625,0.19827586206896552
2082-10-01,0.08994708994708994,0.2114695340501792,0.0625,0.21264367816091953
2083-10-01,0.08597883597883597,0.21774193548387097,0.0625,0.2136015325670498
2084-10-01,0.047619047619047616,0.21863799283154123,0.0625,0.21168582375478928
2085-10-01,0.047619047619047616,0.1917562724014337,0.052083333333333336,0.22701149425287356
2086-10-01,0.047619047619047616,0.15770609318996415,0.0,0.23467432950191572
2087-10-01,0.047619047619047616,0.13530465949820789,0.0,0.2049808429118774
2088-10-01,0.0873015873015873,0.12275985663082438,0.0,0.23275862068965517
