,byrcp,Median,Standard_deviation,Sample_size
0,rcp26,2073.0,24.45384127583725,216
1,rcp45,2042.0,23.799368041874025,497
2,rcp60,2047.0,29.88365578958907,108
3,rcp85,2044.0,24.151139940265125,396
